record_id,title,authors,abstract,year,journal,doi,ref,study,screening_label,is_final_candidate,candidate_type,confirmed_by_supervisor,manual_category,reason,notes,tags,source_file,combined_text
#8,Diffsig: Associating Risk Factors With Mutational Signatures.,Park JE; Smith MA; Van Alsten SC; Walens A; Wu D; Hoadley KA; Troester MA; Love MI,"Somatic mutational signatures elucidate molecular vulnerabilities to therapy and therefore detecting signatures and classifying tumors with respect to signatures has clinical value. However, identifying the etiology of the mutational signatures remains a statistical challenge, with both small sample sizes and high variability in classification algorithms posing barriers. As a result, few signatures have been strongly linked to particular risk factors. Here we present Diffsig, a model and R package for estimating the association of risk factors with mutational signatures, suggesting etiologies for the pre-defined mutational signatures. Diffsig is a Bayesian Dirichlet-multinomial hierarchical model that allows testing of any type of risk factor while taking into account the uncertainty associated with samples with a low number of observations. In simulation, we found that our method can accurately estimate risk factor-mutational signal associations. We applied Diffsig to breast cancer data to assess relationships between five established breast-relevant mutational signatures and etiologic variables, confirming known mechanisms of cancer development. Diffsig is implemented as an R package available at: https://github.com/jennprk/diffsig.",2023,bioRxiv,10.1101/2023.02.09.527740,36798154.0,Park 2023,unassigned,0,unassigned,unknown,,,,,none,"Diffsig: Associating Risk Factors With Mutational Signatures.. Somatic mutational signatures elucidate molecular vulnerabilities to therapy and therefore detecting signatures and classifying tumors with respect to signatures has clinical value. However, identifying the etiology of the mutational signatures remains a statistical challenge, with both small sample sizes and high variability in classification algorithms posing barriers. As a result, few signatures have been strongly linked to particular risk factors. Here we present Diffsig, a model and R package for estimating the association of risk factors with mutational signatures, suggesting etiologies for the pre-defined mutational signatures. Diffsig is a Bayesian Dirichlet-multinomial hierarchical model that allows testing of any type of risk factor while taking into account the uncertainty associated with samples with a low number of observations. In simulation, we found that our method can accurately estimate risk factor-mutational signal associations. We applied Diffsig to breast cancer data to assess relationships between five established breast-relevant mutational signatures and etiologic variables, confirming known mechanisms of cancer development. Diffsig is implemented as an R package available at: https://github.com/jennprk/diffsig."
#237,"Benchmarking 13 tools for mutational signature attribution, including a new and improved algorithm.",Jiang N; Wu Y; Rozen SG,"Mutational signatures are characteristic patterns of mutations caused by endogenous mutational processes or by exogenous mutational exposures. There has been little benchmarking of approaches for determining which signatures are present in a sample and estimating the number of mutations due to each signature. This problem is referred to as ""signature attribution."" We show that there are often many combinations of signatures that can reconstruct the patterns of mutations in a sample reasonably well, even after encouraging sparse solutions. We benchmarked 13 approaches to signature attribution, including a new approach called Presence Attribute Signature Activity (PASA), on large synthetic data sets (2700 synthetic samples in total). These data sets recapitulated the single-base, insertion-deletion, and doublet-base mutational signature repertoires of nine cancer types. For single-base substitution mutations, PASA and MuSiCal outperformed other approaches on all the cancer types combined. However, the ranking of approaches varied by cancer type. For doublet-base substitutions and small insertions and deletions, while PASA outperformed the other approaches in most of the nine cancer types, the ranking of approaches again varied by cancer type. We believe that this variation reflects inherent difficulties in signature attribution. These difficulties stem from the fact that there are often many attributions that can reasonably explain the pattern of mutations in a sample and from the combinatorial search space due to the need to impose sparsity. Tables herein can provide guidance on the selection of mutational signature attribution approaches that are best suited to particular cancer types and study objectives.",2024,Brief Bioinform,10.1093/bib/bbaf042,39910776.0,Jiang 2024,unassigned,0,unassigned,unknown,,,,,none,"Benchmarking 13 tools for mutational signature attribution, including a new and improved algorithm.. Mutational signatures are characteristic patterns of mutations caused by endogenous mutational processes or by exogenous mutational exposures. There has been little benchmarking of approaches for determining which signatures are present in a sample and estimating the number of mutations due to each signature. This problem is referred to as ""signature attribution."" We show that there are often many combinations of signatures that can reconstruct the patterns of mutations in a sample reasonably well, even after encouraging sparse solutions. We benchmarked 13 approaches to signature attribution, including a new approach called Presence Attribute Signature Activity (PASA), on large synthetic data sets (2700 synthetic samples in total). These data sets recapitulated the single-base, insertion-deletion, and doublet-base mutational signature repertoires of nine cancer types. For single-base substitution mutations, PASA and MuSiCal outperformed other approaches on all the cancer types combined. However, the ranking of approaches varied by cancer type. For doublet-base substitutions and small insertions and deletions, while PASA outperformed the other approaches in most of the nine cancer types, the ranking of approaches again varied by cancer type. We believe that this variation reflects inherent difficulties in signature attribution. These difficulties stem from the fact that there are often many attributions that can reasonably explain the pattern of mutations in a sample and from the combinatorial search space due to the need to impose sparsity. Tables herein can provide guidance on the selection of mutational signature attribution approaches that are best suited to particular cancer types and study objectives."
#3613,BASCULE: bayesian inference and clustering of mutational signatures leveraging biological priors,"Buscaroli, E.; Sadr, A.; Bergamin, R.; Milite, S.; Villegas Garcia, E.N.; Tasciotti, A.; Ansuini, A.; Ramazzotti, D.; Calonaci, N.; Caravagna, G.","Mutational signatures provide key insights into cancer mutational processes, but the availability of signature catalogues generated by different groups using distinct methodologies underscores a need for standardization. We introduce a Bayesian framework that offers a systematic approach to expanding existing signature catalogues for any type of mutational signature while grouping patients based on shared signature patterns. We demonstrate that this approach can identify both known and novel molecular subtypes across nearly 8000 samples spanning six cancer types and show that stratifications derived from signature yield prognostic groups, further enhancing the translational potential of mutational signatures. © The Author(s) 2025.",2026,Genome Biol.,10.1186/s13059-025-03835-9,,Buscaroli 2026,unassigned,0,unassigned,unknown,,,,,none,"BASCULE: bayesian inference and clustering of mutational signatures leveraging biological priors. Mutational signatures provide key insights into cancer mutational processes, but the availability of signature catalogues generated by different groups using distinct methodologies underscores a need for standardization. We introduce a Bayesian framework that offers a systematic approach to expanding existing signature catalogues for any type of mutational signature while grouping patients based on shared signature patterns. We demonstrate that this approach can identify both known and novel molecular subtypes across nearly 8000 samples spanning six cancer types and show that stratifications derived from signature yield prognostic groups, further enhancing the translational potential of mutational signatures. © The Author(s) 2025."
