variant,weight_rq,weight_proposal,weight_keyword,n_records,total_relevant,average_precision,precision_at_10,recall_at_10,ndcg_at_10,relevant_found_at_10,precision_at_25,recall_at_25,ndcg_at_25,relevant_found_at_25,precision_at_50,recall_at_50,ndcg_at_50,relevant_found_at_50,precision_at_100,recall_at_100,ndcg_at_100,relevant_found_at_100,precision_at_200,recall_at_200,ndcg_at_200,relevant_found_at_200
full_hybrid_original,0.65,0.1,0.25,2231,120,0.5455162581158316,0.5,0.041666666666666664,0.5357086937004183,5,0.6,0.125,0.5951676435952047,15,0.64,0.26666666666666666,0.6280053403460151,32,0.6,0.5,0.6028744555846806,60,0.47,0.7833333333333333,0.7282562884651753,94
balanced,0.5,0.2,0.3,2231,120,0.5428672102530795,0.6,0.05,0.6149518506608848,6,0.64,0.13333333333333333,0.6309025427908422,16,0.64,0.26666666666666666,0.6348677243665872,32,0.61,0.5083333333333333,0.6129115304118936,61,0.465,0.775,0.7254721636577305,93
rq_keyword,0.75,0.0,0.25,2231,120,0.5427148095956851,0.5,0.041666666666666664,0.5298982599625927,5,0.6,0.125,0.5943977502816279,15,0.64,0.26666666666666666,0.6282941735081929,32,0.59,0.49166666666666664,0.5952834927037876,59,0.465,0.775,0.7221323312579554,93
semantic_heavy,0.75,0.15,0.1,2231,120,0.5203411205148603,0.6,0.05,0.6364741801035539,6,0.6,0.125,0.626241242462428,15,0.56,0.23333333333333334,0.5844469567325109,28,0.55,0.4583333333333333,0.5704728549551061,55,0.445,0.7416666666666667,0.7009157778330954,89
proposal_only,0.0,1.0,0.0,2231,120,0.49408433906492666,0.7,0.058333333333333334,0.6371130896657825,7,0.68,0.14166666666666666,0.6563041647578427,17,0.48,0.2,0.5149371383866314,24,0.53,0.44166666666666665,0.5420619316721934,53,0.435,0.725,0.6741453686017107,87
keyword_heavy,0.45,0.1,0.45,2231,120,0.4749420781792024,0.7,0.058333333333333334,0.6659485553357845,7,0.56,0.11666666666666667,0.576687460816897,14,0.5,0.20833333333333334,0.5254481393575275,25,0.53,0.44166666666666665,0.5393989976691639,53,0.44,0.7333333333333333,0.6778595183734175,88
rq_proposal,0.8,0.2,0.0,2231,120,0.474727169568354,0.7,0.058333333333333334,0.62851089260591,7,0.52,0.10833333333333334,0.5336711169897215,13,0.5,0.20833333333333334,0.5161207936861657,25,0.5,0.4166666666666667,0.5098670423893884,50,0.425,0.7083333333333334,0.6539872772052722,85
rq_only,1.0,0.0,0.0,2231,120,0.46165644182439775,0.7,0.058333333333333334,0.599976751690748,7,0.52,0.10833333333333334,0.5153916580037017,13,0.5,0.20833333333333334,0.502599780309954,25,0.48,0.4,0.4868929619237058,48,0.425,0.7083333333333334,0.6456157921502236,85
keyword_only,0.0,0.0,1.0,2231,120,0.21144378827716329,0.1,0.008333333333333333,0.2200917662980802,1,0.36,0.075,0.36163213121706717,9,0.28,0.11666666666666667,0.3000788020467128,14,0.26,0.21666666666666667,0.27526320953338695,26,0.25,0.4166666666666667,0.38074234272040813,50
