method,n_records,total_relevant,average_precision,first_relevant_rank,precision_at_10,precision_at_25,precision_at_50,precision_at_100,recall_at_50,recall_at_100,recall_at_200,ndcg_at_50,ndcg_at_100,ndcg_at_200,relevant_found_at_50,relevant_found_at_100,relevant_found_at_200,recall_at_10,ndcg_at_10,relevant_found_at_10,recall_at_25,ndcg_at_25,relevant_found_at_25,precision_at_200
keyword,2231,120,0.21161099144319404,1,0.1,0.36,0.28,0.27,0.11666666666666667,0.225,0.4166666666666667,0.30005487653771146,0.2823042981038396,0.38075444468832553,14,27,50,0.008333333333333333,0.2200917662980802,1,0.075,0.3617368569916244,9,0.25
tfidf,2231,120,0.381005528712461,2,0.7,0.52,0.52,0.52,0.21666666666666667,0.43333333333333335,0.6,0.5119868242808673,0.5133293879814962,0.5674302228149997,26,52,72,0.058333333333333334,0.5914640815742044,7,0.10833333333333334,0.5047092373429379,13,0.36
bm25,2231,120,0.3719110468394594,3,0.5,0.56,0.54,0.49,0.225,0.4083333333333333,0.6,0.5016610660386298,0.4800564588480894,0.5542603512529136,27,49,72,0.041666666666666664,0.40663927990506543,5,0.11666666666666667,0.49207183223658635,14,0.36
minilm,2231,120,0.5393826396901814,1,0.8,0.68,0.74,0.55,0.30833333333333335,0.4583333333333333,0.7333333333333333,0.7449836587141934,0.5966209232104513,0.7173366988073412,37,55,88,0.06666666666666667,0.8048109992093391,8,0.14166666666666666,0.7125681386490146,17,0.44
pubmedbert,2231,120,0.2200356037767914,10,0.1,0.2,0.28,0.27,0.11666666666666667,0.225,0.425,0.23451196254818205,0.24407593285852702,0.3545048605280038,14,27,51,0.008333333333333333,0.06362078819895173,1,0.041666666666666664,0.16058981008215506,5,0.255
specter,2231,120,0.46165644182439775,2,0.7,0.52,0.5,0.48,0.20833333333333334,0.4,0.7083333333333334,0.502599780309954,0.4868929619237058,0.6456157921502236,25,48,85,0.058333333333333334,0.599976751690748,7,0.10833333333333334,0.5153916580037017,13,0.425
specter_hybrid,2231,120,0.5455162581158316,1,0.5,0.6,0.64,0.6,0.26666666666666666,0.5,0.7833333333333333,0.6280053403460151,0.6028744555846806,0.7282562884651753,32,60,94,0.041666666666666664,0.5357086937004183,5,0.125,0.5951676435952047,15,0.47
