method,method_label,n_records,total_relevant,dataset_prevalence,relevant_at_10,precision_at_10,recall_at_10,screening_fraction_at_10,enrichment_at_10,relevant_at_25,precision_at_25,recall_at_25,screening_fraction_at_25,enrichment_at_25,relevant_at_50,precision_at_50,recall_at_50,screening_fraction_at_50,enrichment_at_50,relevant_at_100,precision_at_100,recall_at_100,screening_fraction_at_100,enrichment_at_100,relevant_at_200,precision_at_200,recall_at_200,screening_fraction_at_200,enrichment_at_200
keyword,Keyword,2231,120,0.05378753922008068,1,0.1,0.008333333333333333,0.0044822949350067235,1.8591666666666669,9,0.36,0.075,0.011205737337516808,6.6930000000000005,14,0.28,0.11666666666666667,0.022411474675033616,5.2056666666666676,27,0.27,0.225,0.04482294935006723,5.019750000000001,50,0.25,0.4166666666666667,0.08964589870013447,4.647916666666667
tfidf,TF-IDF,2231,120,0.05378753922008068,7,0.7,0.058333333333333334,0.0044822949350067235,13.014166666666666,13,0.52,0.10833333333333334,0.011205737337516808,9.667666666666667,26,0.52,0.21666666666666667,0.022411474675033616,9.667666666666667,52,0.52,0.43333333333333335,0.04482294935006723,9.667666666666667,72,0.36,0.6,0.08964589870013447,6.6930000000000005
bm25,BM25,2231,120,0.05378753922008068,5,0.5,0.041666666666666664,0.0044822949350067235,9.295833333333334,14,0.56,0.11666666666666667,0.011205737337516808,10.411333333333335,27,0.54,0.225,0.022411474675033616,10.039500000000002,49,0.49,0.4083333333333333,0.04482294935006723,9.109916666666667,72,0.36,0.6,0.08964589870013447,6.6930000000000005
minilm,MiniLM,2231,120,0.05378753922008068,8,0.8,0.06666666666666667,0.0044822949350067235,14.873333333333335,17,0.68,0.14166666666666666,0.011205737337516808,12.642333333333335,37,0.74,0.30833333333333335,0.022411474675033616,13.757833333333334,55,0.55,0.4583333333333333,0.04482294935006723,10.225416666666668,88,0.44,0.7333333333333333,0.08964589870013447,8.180333333333333
pubmedbert,PubMedBERT,2231,120,0.05378753922008068,1,0.1,0.008333333333333333,0.0044822949350067235,1.8591666666666669,5,0.2,0.041666666666666664,0.011205737337516808,3.7183333333333337,14,0.28,0.11666666666666667,0.022411474675033616,5.2056666666666676,27,0.27,0.225,0.04482294935006723,5.019750000000001,51,0.255,0.425,0.08964589870013447,4.740875
specter,SPECTER,2231,120,0.05378753922008068,7,0.7,0.058333333333333334,0.0044822949350067235,13.014166666666666,13,0.52,0.10833333333333334,0.011205737337516808,9.667666666666667,25,0.5,0.20833333333333334,0.022411474675033616,9.295833333333334,48,0.48,0.4,0.04482294935006723,8.924,85,0.425,0.7083333333333334,0.08964589870013447,7.901458333333333
specter_hybrid,SPECTER-hybrid,2231,120,0.05378753922008068,5,0.5,0.041666666666666664,0.0044822949350067235,9.295833333333334,15,0.6,0.125,0.011205737337516808,11.155,32,0.64,0.26666666666666666,0.022411474675033616,11.898666666666667,60,0.6,0.5,0.04482294935006723,11.155,94,0.47,0.7833333333333333,0.08964589870013447,8.738083333333334
tar_tfidf_logreg,TAR TF-IDF+LogReg,2231,120,0.05378753922008068,9,0.9,0.075,0.0044822949350067235,16.7325,21,0.84,0.175,0.011205737337516808,15.617,38,0.76,0.31666666666666665,0.022411474675033616,14.129666666666667,62,0.62,0.5166666666666667,0.04482294935006723,11.526833333333334,94,0.47,0.7833333333333333,0.08964589870013447,8.738083333333334
tar_augmented_extratrees,TAR-Augmented ExtraTrees,2231,120,0.05378753922008068,9,0.9,0.075,0.0044822949350067235,16.7325,23,0.92,0.19166666666666668,0.011205737337516808,17.104333333333336,37,0.74,0.30833333333333335,0.022411474675033616,13.757833333333334,67,0.67,0.5583333333333333,0.04482294935006723,12.456416666666668,98,0.49,0.8166666666666667,0.08964589870013447,9.109916666666667
