method_label,relevant_at_100,recall_at_100,precision_at_100,screening_fraction_at_100,enrichment_at_100,relevant_at_200,recall_at_200,precision_at_200,enrichment_at_200
Keyword,27,0.225,0.27,0.045,5.02,50,0.417,0.25,4.648
TF-IDF,52,0.433,0.52,0.045,9.668,72,0.6,0.36,6.693
BM25,49,0.408,0.49,0.045,9.11,72,0.6,0.36,6.693
MiniLM,55,0.458,0.55,0.045,10.225,88,0.733,0.44,8.18
PubMedBERT,27,0.225,0.27,0.045,5.02,51,0.425,0.255,4.741
SPECTER,48,0.4,0.48,0.045,8.924,85,0.708,0.425,7.901
SPECTER-hybrid,60,0.5,0.6,0.045,11.155,94,0.783,0.47,8.738
TAR TF-IDF+LogReg,62,0.517,0.62,0.045,11.527,94,0.783,0.47,8.738
TAR-Augmented ExtraTrees,67,0.558,0.67,0.045,12.456,98,0.817,0.49,9.11
