method,AP,Std AP,P@100,R@100,nDCG@100,Rel@100,Rank@50%,Rank@75%,Rank@90%
TAR-Augmented ExtraTrees,0.4603,0.2174,0.428,0.529,0.59,42.85,443.9,658.05,1008.3
TAR TF-IDF+LogReg,0.4601,0.2188,0.438,0.531,0.585,43.85,464.25,604.95,962.35
Learned ExtraTrees,0.3234,0.187,0.324,0.416,0.4503,32.35,520.8,833.75,1350.1
MiniLM,0.2402,0.1646,0.25,0.345,0.3366,25.0,320.2,635.25,1223.65
SPECTER,0.2283,0.147,0.246,0.347,0.3352,24.55,373.7,803.3,1388.6
TF-IDF,0.1756,0.1517,0.177,0.233,0.2508,17.7,516.35,1068.2,1769.15
MedCPT,0.1586,0.1254,0.163,0.249,0.2423,16.35,519.55,1195.5,1900.55
BM25,0.1444,0.1146,0.16,0.261,0.243,16.05,706.8,1990.2,3418.7
